basin_id,slope,lon,elev,lat,pop,pop_dnsty,length,area,form_factor,shape_factor,compactness_coefficient,circulatory_ratio,elongation_ratio
24098,66.03456116,134.4639288,37.7924175,48.43173277,8085,3.894743917,83.08252687,1386.204046,0.200820373,4.979574465,2.395632173,0.174301521,0.505490484
24099,61.72107697,134.2643885,66.98901542,48.3298331,23,0.697530856,5.345595186,22.06628243,0.772212875,1.294979704,1.369245028,0.53355489,0.99123726
24100,94.92028809,133.6523493,43.13237399,48.03360961,20216,8.284979285,105.4486184,1643.806165,0.147832124,6.764429627,2.651732081,0.14225979,0.43370408
24101,81.76751709,133.6936988,44.99305418,47.92977242,36752,8.712274671,132.128394,2849.232846,0.163205816,6.12723264,3.031281933,0.108865128,0.455697782
24102,66.19867706,134.1960187,36.32264859,48.39022672,227,1.890708493,10.89767309,80.24239779,0.675672659,1.480006607,1.699311256,0.346414117,0.927208219
24103,93.38381958,133.6494242,39.77681576,48.48771823,821,0.512761063,,1068.24631,,,,,
24104,105.2757721,133.7070549,36.88723132,48.25666601,13052,4.312220053,77.50384206,2029.052601,0.337790041,2.960418833,2.339089188,0.18283018,0.655590302
24105,82.86868286,132.7357338,135.1548728,48.72565554,52021,7.029938443,145.7500867,4904.295222,0.23086546,4.331527122,2.730303607,0.134189818,0.541986639
24110,85.81681061,133.2925264,46.31565195,48.08264875,6361,26.49030041,19.63850211,161.4757437,0.418688058,2.388412997,1.748148017,0.327329424,0.729884913
24112,91.90561676,132.9003113,95.07379656,48.09665344,1659,0.942370285,48.63039756,1183.490093,0.50043651,1.998255483,1.730822435,0.333915376,0.797964541
24113,86.96749115,132.6848399,48.73348358,47.58535543,48022,15.70392457,74.03164353,2075.873842,0.378761802,2.640181756,2.236140845,0.200052112,0.694212112
24114,78.72137451,132.464718,79.814744,47.97267027,6107,2.896614611,50.97353764,1420.153103,0.546569781,1.829592552,1.808152569,0.305964687,0.833934436
24115,67.82775879,132.1779629,51.38602039,47.4767661,127559,42.31205827,78.33286382,2050.749484,0.334213972,2.992095134,2.676145778,0.139676041,0.652110812
24116,129.8568268,131.3259056,132.0812497,46.80378492,330319,70.63484865,120.622923,3216.577155,0.221072273,4.523407599,2.550024411,0.153834156,0.530366687
24118,156.0181427,131.3518139,54.35063304,47.40434472,62177,26.15558876,99.81477087,1619.510594,0.162552692,6.151851381,2.493107841,0.160938267,0.454785052
24119,115.4190903,131.3983852,55.89881349,47.19639487,26237,16.9224387,78.73286963,1059.906203,0.170983921,5.848503145,2.378174624,0.176869916,0.466430279
24120,94.40776062,130.6392686,208.3067466,47.65266736,20347,8.565370633,,1609.588889,,,,,
24121,166.9085541,130.8975527,64.87496845,47.189913,2455,14.81209294,13.92042697,113.310897,0.584745065,1.710146969,1.638166197,0.372756761,0.862566093
24122,100.8024368,130.2513314,251.7923359,47.57386892,431589,62.03514299,127.7375539,4725.337555,0.289598059,3.453061815,1.956805304,0.261243935,0.607025483
24123,177.6085358,130.6201585,83.33553282,46.91181698,47920,32.50556848,61.60730219,1012.715834,0.266822972,3.747803238,2.371493647,0.177867876,0.582667384
24124,174.3695068,130.1541632,183.3161155,47.09721516,58179,27.74317867,66.30388844,1436.898623,0.32684973,3.059509942,1.884280579,0.281741165,0.644886321
24125,176.6771851,130.213936,176.4841371,46.87044666,601357,166.4644971,68.56788429,2487.590674,0.529099586,1.890003369,2.429495164,0.169476455,0.820498536
24126,155.8162537,129.5526114,360.9333082,46.96688365,33545,9.962808486,61.31408831,2313.198099,0.615307596,1.625203405,2.12932372,0.220626698,0.884820626
24127,120.3560028,128.9695538,499.9086659,47.04809698,133616,33.28840521,73.15602448,2752.438803,0.51430113,1.944386161,1.838056072,0.296090135,0.808942847
24128,97.6437149,129.2698239,336.2890196,47.2585091,6042,4.475677792,46.94895218,921.5429826,0.418084232,2.39186251,1.698515596,0.346738744,0.729358408
24129,153.5804596,129.6671516,541.5041585,47.52919379,3380,2.244349174,50.90328858,1023.875177,0.395143946,2.530723322,2.00407243,0.249066101,0.709066171
24130,121.5655289,129.3009768,424.0614782,47.50529002,32014,24.97985645,,871.4487917,,,,,
24131,89.00627136,129.4543964,492.533877,47.81327247,5964,2.313017335,54.65860546,1743.020656,0.583425544,1.714014771,1.591287698,0.395042698,0.861592321
24132,123.4686508,129.0121919,461.628998,47.66709122,33839,22.03890124,39.49163537,1040.962597,0.667459453,1.498218349,1.890354102,0.27993366,0.921555603
24133,99.22944641,128.5643032,454.4473083,47.6489388,106956,30.46547357,60.23338972,2380.765686,0.656208793,1.523905212,1.950286371,0.262993296,0.913755749
24136,80.87325287,128.6436958,378.8322678,48.1268905,29680,18.84029152,,1057.138885,,,,,
24137,105.8041382,128.4814888,378.2117313,48.04485009,18570,10.08279083,62.53950423,1239.63688,0.316946252,3.15510909,2.162933969,0.21382325,0.635041211
24138,111.1462173,129.3485887,451.2732278,48.28217024,110789,14.46890338,,5128.343407,,,,,
24139,204.980545,129.6881414,164.2784727,46.52485417,35270,24.73936792,49.39417561,986.5536848,0.40436098,2.47303783,1.641116341,0.371417798,0.717288255
24141,107.7664032,129.8284154,165.3078431,46.20452625,100799,53.32011653,63.99016119,1316.301615,0.321461529,3.11079215,2.188540347,0.208848969,0.639548673
24142,131.8841858,130.2318271,175.3359516,46.47138652,80939,35.54254351,52.83651943,1578.055547,0.565267328,1.769074474,1.591706858,0.394834665,0.848078477
24143,197.8254395,130.0082913,115.5873044,46.26362956,15989,39.7652244,26.27231253,279.7064156,0.405233951,2.46771031,2.051119568,0.237771334,0.718062112
24144,96.15063477,130.6806072,260.1955554,46.37987115,146048,47.05503382,94.89955804,2155.476196,0.23933976,4.178160786,2.167656432,0.212892593,0.551844255
24145,86.73622131,130.8066096,251.5305109,45.9564255,554922,60.54857161,122.2104073,6409.700831,0.429162114,2.330121804,1.909650691,0.27430491,0.738958055
24146,186.4933777,129.6632768,205.4305907,46.09263446,45166,29.40759824,62.95901458,1072.643777,0.270607403,3.695390401,2.066315235,0.234287056,0.58678491
24147,94.75991058,130.2646847,414.8781823,45.48703233,150239,26.16191108,88.02304834,4049.481309,0.522644747,1.913345549,1.957418123,0.261080382,0.815478273
